,2014,2015,2016,2017,2018
rueperrault,12291.666666666664,8879.310344827587,,,9444.444444444445
ruebaillet,9166.666666666666,13483.45588235294,13483.45588235294,13483.45588235294,19404.166666666668
pldauphine,12745.034967192007,6250.0,12490.797978346998,15467.759852098088,26950.71225071225
ruerivoli,22824.59602228071,12524.104557438573,14257.088519668403,58510.78667160644,10167.028379533103
ruebertin poir��e,10658.451165146911,8686.944444444445,,9715.238527352863,10522.941666666666
avvictoria,3147.6997578692494,10454.545454545454,6923.076923076923,12500.0,9816.176470588234
bds��bastopol,23567.18197642526,8000.0485344348335,8188.83389275522,9330.48373749644,12423.168226376667
ruest-denis,13913.396193992234,8192.039899370515,9545.030704598696,13053.28661130392,13240.550041152053
ruepierre lescot,10295.3216374269,8099.039445950016,9166.666666666666,9686.153846153846,11395.598497047773
ruelombards,11285.29411764706,7127.881899271461,8652.123814979748,9611.612903225805,10655.95716198126
ruecourtalon,8260.0,9459.45945945946,9459.45945945946,241.79487179487182,241.79487179487182
plste-opportune,11904.761904761905,11904.761904761905,11080.0,11080.0,11080.0
rueste-opportune,10344.827586206895,10344.827586206895,17350.0,17350.0,17350.0
rueferronnerie,8001.268879522305,9073.24016563147,9949.234771241829,8069.190367577464,11861.13429399016
rueinnocents,17597.916666666668,12250.0,10000.0,9285.714285714286,22409.09090909091
ruehalles,9969.280701754386,5195.555555555556,5962.89851146712,8622.260430746228,12347.613846723436
rued��chargeurs,8833.333333333334,11500.0,11500.0,18901.5,12686.567164179103
ruebourdonnais,5385.714285714285,9623.057644110275,12575.535399344924,16302.982582810171,10379.375
ruepont neuf,15590.056732060111,297180.73593073594,11699.843613558785,15748.575498575497,11055.6
ruerambuteau,7502.923976608187,7502.923976608187,9281.654174573056,15671.788658645275,17440.5770531401
ruemontmartre,6588.851375102013,10014.566723603788,9860.471923254774,85201.38582810048,14357.048941798943
ruemontorgueil,7646.870554765291,9088.205194358445,9019.256301331068,8649.018062397372,8619.35286935287
rueetienne marcel,8350.932400932401,10402.351916376307,5562.5,5112.150920974451,13402.823920265782
rueturbigo,9772.727272727272,7373.714313614313,6180.348258706467,11840.0,14067.045454545454
ruecygne,9272.294731846225,9272.294731846225,5969.78021978022,9681.818181818182,8760.0
ruegrande truanderie,7601.219512195122,10919.444444444445,8852.307692307693,9229.559012750027,9229.559012750027
ruepetite truanderie,10000.0,10000.0,10000.0,10000.0,13600.0
ruelouvre,1088078.005025827,10656.704452836773,12772.338902588614,7538.949938949938,8668.220872214528
ruecroix petits champs,9800.141025641025,11366.851851851852,10625.93506819513,10837.723483252785,8965.51724137931
ruebouloi,10162.5,8496.704099281105,4723.649538866931,6970.540044982056,10862.977602108038
ruejean-jacques rousseau,11821.53283085178,13612.599064291144,10257.118877052937,11816.727403927245,8254.490519259714
ruejour,6333.333333333335,10956.823671497586,9305.793257897218,13430.081479850252,24958.128078817732
pldeux ecus,9303.897849462366,9303.897849462366,9303.897849462366,,12500.0
ruesauval,8696.825396825396,8444.444444444445,10040.0,11143.939393939394,9796.05855855856
ruevauvilliers,6468.75,9776.536312849164,8404.032258064515,12371.134020618558,8273.381294964029
rueroule,25546.422652310208,8368.975468975468,41425.1380803105,9548.280423280425,11138.71635610766
ruel'arbre sec,20290.152573957606,8514.690469422176,17488.544532627868,8681.841060985798,10163.04882154882
ruebons enfants,2368.421052631579,11425.0,11425.0,,
ruerichelieu,46428.69581681477,14787.825177713517,7765.468319436809,11234.754472270126,17609.399394665095
ruepetits champs,21363.256596928513,7020.558351101634,19042.034075214462,14478.158074057197,10488.857459014747
ruest - roch,11565.960020371786,10918.839126559717,10092.246194410138,9465.406897024543,6669.833737210555
ruemoulins,10722.222222222223,9167.5,7787.747035573122,5944.166666666667,8500.0
rueste-anne,8930.655974338413,12825.892857142859,9669.222389810628,10662.156776556776,14028.076463560335
ruepyramides,9666.666666666666,11603.01296414853,7361.172509848522,11958.77777777778,163316.0714285714
rued'argenteuil,12681.25,9900.438114117122,13033.333333333336,75.9493670886076,11798.90915011397
ruel 'echelle,,,,,
ruecastiglione,17456.407295316978,17456.407295316978,17456.407295316978,17456.407295316978,13777.777777777776
rued'alger,13707.142857142857,16666.666666666668,14394.496855345915,7845.894845894846,14393.243025318498
ruemont-thabor,9887.640449438202,9566.50311025311,12359.79327921401,10867.795658682633,9776.085385203032
ruevingt-neuf juillet,,12363.636363636364,11587.301587301587,13000.0,89155.63025210086
ruest-hyacinthe,10896.591209205812,9643.43822843823,10911.538461538461,6592.650890143292,8280.181086519115
ruedanielle casanova,10536.627906976744,12710.997845811902,274735.7949308756,9624.414414414416,14789.678819444445
rueduphot,442717.7269897959,62233.16912972085,62233.16912972085,11770.833333333336,91384.31013431012
ruecambon,11542.222222222224,53187.43320610686,53187.43320610686,52631.57894736842,11419.354838709678
rueberger,5084.06981882457,9122.34477124183,10119.047619047618,3521.4285714285716,3521.4285714285716
rueventadour,103225.80645161292,103225.80645161292,103225.80645161292,,
ruebailleul,13854.166666666664,10851.287825475018,6695.156862745098,25089.94708994709,11100.278656126482
quailouvre,6890.10989010989,6890.10989010989,11666.257158743398,12000.0,
ruedeux boules,12631.578947368424,12631.578947368424,12631.578947368424,10606.060606060606,13861.111111111111
quaim��gisserie,11600.0,11600.0,11428.571428571431,54153.882352941175,11034.830508474575
ruecossonnerie,16011.456628477903,16011.456628477903,9041.133241758242,14475.827129859388,10608.552631578947
ruemauconseil,2958.695652173913,2958.695652173913,2958.695652173913,2958.695652173913,14772.727272727272
ruevilledo,9274.625359636693,9274.625359636693,11043.560606060606,41035.35353535353,10873.010858403793
impgomboust,2400.0,2400.0,10454.545454545454,10454.545454545454,16228.571428571431
ruechevalier st-george,11785.714285714286,11785.714285714286,11785.714285714286,10625.0,10625.0
ruest-florentin,,,7200.0,10333.333333333334,3826.6928158546652
ruebeaujolais,11458.333333333336,11458.333333333336,11458.333333333336,11458.333333333336,28363.636363636364
ruejean lantier,7500.0,7500.0,7500.0,16935.036091060523,16935.036091060523
quail'horloge,6250.0,6250.0,6250.0,6250.0,21500.0
rueviarmes,10361.445783132529,10361.445783132529,10361.445783132529,10361.445783132529,10361.445783132529
plvalois,11781.6091954023,11781.6091954023,11781.6091954023,11781.6091954023,13516.949152542373
plandr�� malraux,91176.47058823529,91176.47058823529,91176.47058823529,91176.47058823529,1657.142857142857
ruemondovi,11578.947368421052,11578.947368421052,11578.947368421052,158974.35897435894,12746.596858638744
pllouvre,23750.0,23750.0,23750.0,23750.0,23750.0
ruereynie,38171.42857142857,38171.42857142857,38171.42857142857,38171.42857142857,7466.666666666668
ruemontpensier,17870.370370370372,17870.370370370372,17870.370370370372,17870.370370370372,8000.0
ruefeuillade,197098.2142857143,197098.2142857143,197098.2142857143,197098.2142857143,197098.2142857143
bdmadeleine,29.801324503311253,29.801324503311253,29.801324503311253,29.801324503311253,13014.492753623188
ruerouget l'isle,6613.345338135255,6613.345338135255,6613.345338135255,6613.345338135255,6613.345338135255
rueprouvaires,12391.304347826086,12391.304347826086,12391.304347826086,12391.304347826086,12391.304347826086
