cle_interop,uid_adresse,numero,suffixe,pseudo_numero,voie_code,code_postal,libelle_acheminement,destination_principale,commune_code,commune_nom,source,long,lat,x,y,position,date_der_maj,Type de voie,Nom de voie,Valeur fonciere,Surface reelle bati,Date mutation,vf_square_meter_price
75101_7279_00005,,5,,False,7279,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3414936,48.860353499999995,651686.96,6862459.11,entr��e,2018-10-30,rue,perrault,"295000,00",24.0,29/12/2014,12291.666666666666
75101_0630_00010,,10,,False,0630,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3422542999999996,48.859868,651742.32,6862404.67,entr��e,2018-10-30,rue,baillet,"165000,00",18.0,13/03/2014,9166.666666666666
75101_2594_00024,,24,,False,2594,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3420557,48.85686629999999,651724.97,6862071.02,entr��e,2018-10-30,pl,dauphine,"1,00",144.0,05/11/2014,0.006944444444444444
75101_2594_00020,,20,,False,2594,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3423041000000002,48.8568231,651743.15,6862066.07,entr��e,2018-10-30,pl,dauphine,"540000,00",45.0,04/09/2014,12000.0
75101_2594_00018,,18,,False,2594,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3424076,48.856806299999995,651750.73,6862064.14,entr��e,2018-10-30,pl,dauphine,"15000,00",34.0,09/05/2014,441.1764705882353
75101_2594_00016,,16,,False,2594,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3425147,48.8567884,651758.57,6862062.08,entr��e,2018-10-30,pl,dauphine,"615000,00",0.0,30/01/2014,inf
75101_2594_00010,,10,,False,2594,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.342837,48.856736100000006,651782.17,6862056.07,entr��e,2018-10-30,pl,dauphine,"2784750,00",104.0,11/04/2014,26776.44230769231
75101_2594_00017,,17,,False,2594,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3421463,48.856454600000006,651731.24,6862025.19,entr��e,2018-10-30,pl,dauphine,"490000,00",30.0,01/12/2014,16333.333333333334
75101_2594_00019,,19,,False,2594,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3420502,48.856540700000004,651724.26,6862034.82,entr��e,2018-10-30,pl,dauphine,"1020000,00",56.0,15/10/2014,18214.285714285714
75101_8249_00061,,61,,False,8249,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3454496,48.859291799999994,651976.22,6862338.65,entr��e,2018-10-30,rue,rivoli,"278500,00",34.0,18/03/2014,8191.176470588235
