OBJECTID;NUM_PAVE;IGDS_LEVEL;LIB_LEVEL;LIB_CLASSE;geo_shape;lat;long
1;310;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);"{""type"": ""Polygon"", ""coordinates"": [[[2.356725260658055, 48.86572462418499], [2.356725411007127, 48.86572679960528], [2.356727455173041, 48.865726736846085], [2.356729500602011, 48.8657266821877], [2.356726250330872, 48.86567858941952], [2.356696044241389, 48.86567889202507], [2.356698530874227, 48.86572733503095], [2.356700576181194, 48.86572729026518], [2.35670262013606, 48.86572724459279], [2.356702509914034, 48.86572513144281], [2.356725260658055, 48.86572462418499]]]}";48.8657021982;
33;171C;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);"{""type"": ""Polygon"", ""coordinates"": [[[2.284847713432865, 48.8805405521671], [2.284845725115796, 48.88053808689476], [2.284684954246146, 48.88059274418266], [2.284711425532201, 48.880624986237315], [2.284882421731651, 48.88058523447219], [2.2848810057195212, 48.88058259904681], [2.284847713432865, 48.8805405521671]]]}";48.8805837659;2.28478633067
49;194B;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);"{""type"": ""Polygon"", ""coordinates"": [[[2.381317475295522, 48.87808788558171], [2.381267071960057, 48.8781044614622], [2.381276080568383, 48.87811662470915], [2.381285198787545, 48.878128743555244], [2.381294426414822, 48.878140835086604], [2.381295205172483, 48.878141850858746], [2.3812959825667432, 48.878142866623854], [2.381296773702065, 48.878143873466634], [2.38135248111914, 48.8781255694901], [2.381319611246328, 48.87808311847449], [2.381314950700042, 48.87808462235215], [2.381317475295522, 48.87808788558171]]]}";48.8781149147;2.38130965908
58;132H;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);"{""type"": ""Polygon"", ""coordinates"": [[[2.369817935037756, 48.821524016366574], [2.369751133778796, 48.82150125720274], [2.369725321892464, 48.821534304598174], [2.369789574493465, 48.8215561923371], [2.369791139180385, 48.82155418597724], [2.369788183403011, 48.82155318917829], [2.369810540537476, 48.821524027762], [2.369816384080749, 48.82152601380534], [2.369817935037756, 48.821524016366574]]]}";48.8215282637;2.36976910011
79;081D;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);"{""type"": ""Polygon"", ""coordinates"": [[[2.300535503318139, 48.87220940422847], [2.300559513694616, 48.8722421628207], [2.300559662766921, 48.87224243259547], [2.30055984046737, 48.87224270253755], [2.300560044190092, 48.872242963638215], [2.30056035738151, 48.872243296426674], [2.300560711711563, 48.87224361146867], [2.300561107313186, 48.87224389887217], [2.300561542678305, 48.872244169420526], [2.300562020678258, 48.8722444123383], [2.300562511309662, 48.87224462834966], [2.300563028216931, 48.87224481663484], [2.300563587855637, 48.87224497009534], [2.300564146626287, 48.87224508667769], [2.300564719379471, 48.872245177260766], [2.300565318408619, 48.87224524011773], [2.300565904397136, 48.87224525883065], [2.300566504392335, 48.87224524974581], [2.300567091358876, 48.872245195617616], [2.300567677312446, 48.87224511540254], [2.300568236375478, 48.87224500715068], [2.30056879454619, 48.872244863819226], [2.30056932729841, 48.87224468436553], [2.300569831784748, 48.872244477766316], [2.300570309368573, 48.87224424402962], [2.300570745054176, 48.872243983067804], [2.300571153837163, 48.872243694968475], [2.30057152331573, 48.87224338955195], [2.300571849532713, 48.87224305690232], [2.3005721363244183, 48.87224271592824], [2.30057236884005, 48.87224235575081], [2.300572545692194, 48.872241978160574], [2.300572683010385, 48.872241600339365], [2.300572778176773, 48.87224121417775], [2.300572806665088, 48.87224081863309], [2.300572792772269, 48.87224043183419], [2.300572710838012, 48.8722400356443], [2.300572602748659, 48.872239658187816], [2.300572425133954, 48.87223928032503], [2.300572207864545, 48.872238911224], [2.300571935812004, 48.87223856068907], [2.300571621257377, 48.87223822789269], [2.300571268290458, 48.87223791285867], [2.300587875469853, 48.87223251400903], [2.3006133064312673, 48.87222425733755], [2.300613783208052, 48.87222489595916], [2.300614955660329, 48.87222449180968], [2.300616060795751, 48.872224024312786], [2.300617097238977, 48.872223494359865], [2.300618051249101, 48.872222909964655], [2.300618924297754, 48.87222226304175], [2.300619716155822, 48.87222157067722], [2.300620411815433, 48.87222083368279], [2.300620998898747, 48.87222006008024], [2.300621489542115, 48.872219259833216], [2.300621857843939, 48.87221843279043], [2.300622131081267, 48.87221757821191], [2.30062226934555, 48.87221672374409], [2.300622309686098, 48.87221585161662], [2.300622214932867, 48.87221498859258], [2.300622024632175, 48.87221413400372], [2.300621712749501, 48.872213297590676], [2.300621276558326, 48.87221247933754], [2.300620745941472, 48.87221168751297], [2.300620199666009, 48.872211858793825], [2.300608773725295, 48.87219640516543], [2.300609346010797, 48.872196225942545], [2.30060874699076, 48.872195451705124], [2.300608051915959, 48.87219472367232], [2.300607262173911, 48.872194040053564], [2.300606376280607, 48.872193409833606], [2.300605422972734, 48.87219282508624], [2.300604387146031, 48.87219229381734], [2.30060328354251, 48.87219183499924], [2.300602124564155, 48.87219143881162], [2.300600911441403, 48.872191115154465], [2.300599671571823, 48.87219085429503], [2.300598389718325, 48.87219067413118], [2.300597094641739, 48.87219056493824], [2.300595799829588, 48.87219053758705], [2.300594491782265, 48.872190582106], [2.300593196401352, 48.87219069864646], [2.300591928561579, 48.8721908962887], [2.300590687141485, 48.872191157039374], [2.300589486907023, 48.872191498072254], [2.300589936418465, 48.87219213653467], [2.300566702301698, 48.87219934211475], [2.300547189333383, 48.87220538769729], [2.300547025472166, 48.87220500092139], [2.30054682195627, 48.87220462290724], [2.300546562293903, 48.8722042634512], [2.300546262855996, 48.872203921749616], [2.30054590864706, 48.87220359771486], [2.3005455132873482, 48.87220329232581], [2.300545078043413, 48.87220301278468], [2.30054461516037, 48.8722027609617], [2.300544111017766, 48.87220253587793], [2.30054357912737, 48.872202346605704], [2.300543033230293, 48.87220218513133], [2.300542461081319, 48.872202049584494], [2.300541874684143, 48.8722019598209], [2.300541275655522, 48.87220189696384], [2.300540661160344, 48.87220186909076], [2.300540062528801, 48.87220187818345], [2.300539462051053, 48.87220192323913], [2.300538876098027, 48.87220200345404], [2.300538289649778, 48.872202120539185], [2.300537730116176, 48.87220226386255], [2.300537184962381, 48.87220245313641], [2.300536680476218, 48.87220265973547], [2.300536189139536, 48.87220290238512], [2.300535739700912, 48.87220317225991], [2.300535330930021, 48.87220345945984], [2.300534962694128, 48.87220377387697], [2.300534634993131, 48.87220411551125], [2.300534361700984, 48.87220446645694], [2.300534129076472, 48.87220483472776], [2.300533952224175, 48.87220521231796], [2.300533816027539, 48.87220560813255], [2.300533746629684, 48.87220600433752], [2.300533719504254, 48.87220639989015], [2.300533746908544, 48.87220679576142], [2.300533841123593, 48.8722071911238], [2.300533977599197, 48.87220758673308], [2.300534168845844, 48.87220796467559], [2.300534399880123, 48.872208323964344], [2.30053471370966, 48.872208710717246], [2.300535094700375, 48.8722090708823], [2.300535503318139, 48.87220940422847]]]}";48.8722153292;2.30057917343
99;084A;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);"{""type"": ""Polygon"", ""coordinates"": [[[2.312428876637908, 48.87526904336159], [2.312429054448292, 48.87526724480389], [2.31237546235308, 48.875264967414765], [2.312374078921022, 48.8752791852254], [2.312427671030702, 48.875281462615135], [2.3124278488410672, 48.875279664057466], [2.312428876637908, 48.87526904336159]]]}";48.8752732151;2.31240156668
117;130;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);"{""type"": ""Polygon"", ""coordinates"": [[[2.3346997621328, 48.865484539921546], [2.334698343868895, 48.8654877867694], [2.334700961541455, 48.865488289665315], [2.334719309645107, 48.86544645607075], [2.334692648320717, 48.865441374954784], [2.334692416974796, 48.86543942298802], [2.334692389043104, 48.86543926184988], [2.334692348740429, 48.86543910873706], [2.334692279813344, 48.86543895546513], [2.334692198607157, 48.865438803024304], [2.334692103666896, 48.86543865860124], [2.334691979975891, 48.865438523911166], [2.334691843902418, 48.865438398145685], [2.334691680567528, 48.86543827222867], [2.334691517003039, 48.8654381642973], [2.334691326177134, 48.86543805621437], [2.334691135121528, 48.865437966117085], [2.334690931671969, 48.8654378858437], [2.334690713010498, 48.86543782257331], [2.334690481966458, 48.86543776822759], [2.334690249433093, 48.865437723766355], [2.334690018044604, 48.86543769639905], [2.334689772899071, 48.86543767884807], [2.334689527535222, 48.86543767838347], [2.3346892956758483, 48.86543768788671], [2.33468904996755, 48.86543771440054], [2.334688819011764, 48.86543775988267], [2.334688586589625, 48.86543781345072], [2.334688369046332, 48.865437876094965], [2.334688163529472, 48.8654379576923], [2.334687959272337, 48.865438047390754], [2.334687782161668, 48.86543814623358], [2.33468760493625, 48.86543825406921], [2.334687441111739, 48.865438379966264], [2.334687305911636, 48.8654385060224], [2.334687182864299, 48.865438641139576], [2.334682248137021, 48.865446545036846], [2.334678512258057, 48.86545472000594], [2.334676004690861, 48.86546310055843], [2.334667811421574, 48.86548396389792], [2.334667660997884, 48.86548410785633], [2.3346675254530522, 48.865484260890916], [2.334667415691717, 48.86548442306232], [2.334667320820826, 48.86548459341055], [2.334667251848183, 48.8654847639028], [2.33466721148849, 48.865484935453445], [2.334667198286871, 48.865485115249164], [2.334667197352882, 48.86548529511313], [2.334667225158181, 48.86548546614335], [2.334667280121454, 48.865485645418694], [2.334667347455828, 48.865485816668645], [2.334667443540876, 48.86548597818569], [2.3346675655243763, 48.865486139846695], [2.33466770260496, 48.86548629349751], [2.334667852079412, 48.86548643732437], [2.334668028930264, 48.86548657231001], [2.334668233283553, 48.865486688562264], [2.334668437625458, 48.86548680571382], [2.334668655942547, 48.865486895962704], [2.334668901532567, 48.865486985463804], [2.334669147340808, 48.865487057878596], [2.334669392027151, 48.86548711140088], [2.334669665452886, 48.865487156089465], [2.334669924102927, 48.865487183608344], [2.334670196624984, 48.86548719231809], [2.334670469376647, 48.865487183042205], [2.334670728601057, 48.865487165597], [2.334670986703567, 48.86548712925929], [2.33467124638739, 48.86548707584282], [2.334671504834459, 48.865487012526664], [2.334671736238406, 48.865486931972605], [2.334671969246534, 48.865486832541215], [2.3346721873643173, 48.86548672493291], [2.334672376972516, 48.86548660817271], [2.334672568058558, 48.86548648242724], [2.334672732112964, 48.865486338544585], [2.334672867657785, 48.865486185509994], [2.334672990934977, 48.86548603240718], [2.334673099333207, 48.86548587022823], [2.334673181936553, 48.86548569981176], [2.334675717432704, 48.865479935611106], [2.334687739788014, 48.86548223731728], [2.3346997621328, 48.865484539921546]]]}";48.8654629544;2.33469344221
120;130;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);"{""type"": ""Polygon"", ""coordinates"": [[[2.336202369709746, 48.862559670430365], [2.336184855338736, 48.862564059230536], [2.336215317193815, 48.862616945262836], [2.336219174839757, 48.86261597467861], [2.336225240357936, 48.86262647762838], [2.336246597513922, 48.862621109161445], [2.336240546881934, 48.86261061438938], [2.33624434852966, 48.86260965248723], [2.33624030091309, 48.862602638508164], [2.336252077550826, 48.86259967931768], [2.336274498379098, 48.86259405953155], [2.336248071593532, 48.862548205410256], [2.336244255072064, 48.86254915823658], [2.3362461087517, 48.86255237739067], [2.33622086557708, 48.86255869919722], [2.336219025414055, 48.86255548911112], [2.336202369709746, 48.862559670430365]]]}";48.8625843479;2.33622970676
173;114B;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);"{""type"": ""Polygon"", ""coordinates"": [[[2.389737625334375, 48.85194183263169], [2.389739015980414, 48.85194282991053], [2.389823694248837, 48.85189146901286], [2.389803988972238, 48.85187731435438], [2.389719310696861, 48.85192867613803], [2.389720687714945, 48.851929673347556], [2.389721874358727, 48.85193051849501], [2.389708515323821, 48.851938618267354], [2.389722889175006, 48.851948944189196], [2.389736248210223, 48.85194084441536], [2.389737625334375, 48.85194183263169]]]}";48.8519131331;2.3897664332
180;114B;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);"{""type"": ""Polygon"", ""coordinates"": [[[2.394968186051605, 48.848765326556055], [2.394936939489717, 48.84877618831937], [2.394902167072482, 48.848788265256374], [2.394904132234293, 48.84879071963835], [2.394904390838566, 48.848790629212154], [2.394942762641752, 48.84883801954946], [2.394933935543667, 48.84884113523755], [2.394935847357091, 48.8488436073361], [2.394988109001618, 48.84882519025096], [2.39500991452085, 48.848817508515374], [2.394968186051605, 48.848765326556055]]]}";48.8488030922;2.39495615001
