Identifiant livraison;Adresse du programme;Code postal;Ville;Année du financement - agrément;Bailleur social;Nombre total de logements financés;Dont nombre de logements PLA I;Dont nombre de logements PLUS;Dont nombre de logements PLUS CD;Dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissement;Nature de programme;COORD_X_L93;COORD_Y_L93;geo_shape;geo_point_2d
108;41, RUE DE LYON;75012;Paris;2002;ELOGIE;19;0;0;0;19;acquisition réhabilitation;;12;logement familial;653828.9142;6861154.795;"{""type"": ""Point"", ""coordinates"": [2.370828786446361, 48.84878091802179]}";48.848780918, 2.37082878645
120;24, RUE JEAN NICOT;75007;Paris;2002;LOG.FR.;14;5;9;0;0;acquisition conventionnement;;7;logement familial;649199.6866;6862429.099;"{""type"": ""Point"", ""coordinates"": [2.307597340858779, 48.85989223794802]}";48.8598922379, 2.30759734086
123;205, RUE SAINT MAUR;75010;Paris;2002;LOG.FR.;28;0;28;0;0;acquisition conventionnement;;10;logement familial;653886.7885;6863773.214;"{""type"": ""Point"", ""coordinates"": [2.371333331461864, 48.87233222178023]}";48.8723322218, 2.37133333146
128;33 RUE HENRI BARBUSSE;75005;Paris;2002;PARIS HAB;16;4;12;0;0;acquisition conventionnement;;5;logement familial;651463.9956;6860300.279;"{""type"": ""Point"", ""coordinates"": [2.338701140574999, 48.840922461053566]}";48.8409224611, 2.33870114057
129;37, RUE NOTRE DAME DE NAZARETH;75003;Paris;2002;RIVP;38;11;27;0;0;acquisition conventionnement;;3;logement familial;652903.2259;6863236.085;"{""type"": ""Point"", ""coordinates"": [2.35798443253225, 48.86743075330754]}";48.8674307533, 2.35798443253
136;10 RUE D'ENGHIEN;75010;Paris;2002;RIVP;9;0;9;0;0;acquisition réhabilitation;;10;logement familial;652493.8819;6863727.583;"{""type"": ""Point"", ""coordinates"": [2.352349618475674, 48.871820636077835]}";48.8718206361, 2.35234961848
138;11, BD SOULT;75012;Paris;2002;DOMAXIS;24;24;0;0;0;acquisition réhabilitation;;12;logement familial;656483.5599;6859743.298;"{""type"": ""Point"", ""coordinates"": [2.407146527211637, 48.83627198576649]}";48.8362719858, 2.40714652721
141;156-162 RUE DE SAUSSURE;75017;Paris;2002;PARIS HAB;34;0;0;0;34;construction neuve;;17;logement familial;649093.2896;6865764.886;"{""type"": ""Point"", ""coordinates"": [2.305747497406741, 48.889881613958835]}";48.889881614, 2.30574749741
142;61, RUE MYRHA  (HS);75018;Paris;2002;PARIS HAB;25;0;25;0;0;acquisition réhabilitation;;18;résidence pour étudiants;652432.0731;6865387.739;"{""type"": ""Point"", ""coordinates"": [2.351321092027729, 48.88674539413611]}";48.8867453941, 2.35132109203
159;LOT 3A- 32-34 RUE PERNETY, 5 RUE SAINTE LEONIE , PL. BK/14;75014;Paris;2002;PARIS HAB;14;0;0;0;14;construction neuve;;14;logement familial;650003.1221;6859492.593;"{""type"": ""Point"", ""coordinates"": [2.318892759122765, 48.83354723138341]}";48.8335472314, 2.31889275912
